from	to	count	docs
neumotórax	síndrome respiratorio agudo grave por coronavirus 2	1	 32320556_ES
duplicidad renal	infecciones	1	32318729_ES
fumadora	sdra grave	1	 32426200_ES
sdra	sobreinfección	1	 32222713_ES
diabetes mellitus de tipo 2	hiperlipidemia	1	 32360439-B_ES
covid19	síndrome de dificultad respiratoria aguda	1	 32593338_ES
hipertensión	neumonía vírica	1	 32161941_ES
arritmia	arteriopatía coronaria obstructiva	1	32329981_ES
cardiomiopatía isquémica	sdra	1	 32222713_ES
disfunción ventricular	tromboembolia pulmonar	1	 32586778_ES
infecciones nosocomiales	trombocitopenia	1	 32196627_ES
covid19	insuficiencia renal	1	 32427645_ES
infección por sarscov2	linfocitopenia	2	 32353183_ES, 32208010_ES
choque séptico	lesión renal aguda	1	 32359711_ES
hipotensión	neumonía intersticial grave	1	 32360384_ES
diabetes mellitus de tipo 2	lesión renal aguda	1	 32292867_ES
covid19	infección pulmonar	1	 32292053_ES
lesiones pulmonares	neumonía grave	1	32277408_ES
diabetes tipo 2	insuficiencia renal crónica	1	32352486_ES
diabetes mellitus de tipo 2	enfermedad pulmonar obstructiva crónica	1	 32622819A_ES
hipoxemia grave	neumotórax	1	 32207255_ES
asma eosinofílica grave	neumonía por sarscov2	1	 32553608­B_ES
neumonía grave por covid19	síndrome de dificultad respiratoria aguda por coronavirus 2	1	 32631838_ES
neumotórax	taquicardia	1	 32320556_ES
opacidades de vidrio esmerilado en ambos pulmones	síndrome de guillainbarré	1	 32246917_ES
anosmia	neumonía	2	 32611659_ES, 32606105_ES
linfoadenopatía cervical	parto	1	 32292867_ES
hipertensión pulmonar	insuficiencia renal	1	 32427645_ES
lesiones cutáneas	neumonía atípica	1	 32352487_ES
infección por sarscov2	sarscov2	1	 32653906_ES
arritmia	hipertensión arterial	1	 32557532_ES
covid19	hepatomegalia	2	 32636116_ES, 32292053_ES
adenopatía en el lado derecho del cuello	hepatomegalia	1	32427645_ES
hipertensión arterial	neumonía intersticial	1	 32399451_ES
dilatación coronaria	taquicardia sinusal	1	 32265235_ES
infección por covid19	sdra	1	 32363351_ES
covid19	leucocitopenia	1	 32636116_ES
hipertensión arterial	trombosis venosa profunda	1	 32631646_ES
apendicitis aguda	coagulopatía	1	32427161_ES
estenosis focal moderada de la ACM	parálisis facial	1	32360439-B_ES
conjuntivitis	hiponatremia	2	32640066_ES, 32265235_ES
conjuntivitis	derrame pericárdico	1	 32265235_ES
hematuria	síndrome de dificultad respiratoria aguda	1	 32292915_ES
anemia grave	infecciones nosocomiales	1	32245909_ES
arritmias	nefropatía crónica	1	32360439-D_ES
afasia anómica	ictus	1	32360439-D_ES
infección por sarscov2	urticaria	1	 32641443_ES
embarazo	gestación	6	 32590725_ES, 32161941_ES, 32637327B_ES, 32363336-B_ES, 32363217_ES, 32637327A_ES
fibrilación auricular	hipotensión	1	 32617223_ES
diabetes mellitus	embolia pulmonar	1	 32631838_ES
lesiones cutáneas	neumonía por covid19	1	 32589314_ES
hipoxemia grave	paro cardíaco	1	 32360384_ES
infección	neumonía bilateral grave	1	 32638347C_ES
covid19	síndrome respiratorio agudo grave por coronavirus 2	1	 32320556_ES
colitis ulcerosa	muerte	1	 32245909_ES
infección vírica	sarscov2	1	 32615155_ES
diabetes mellitus	sobreinfecciones bacterianas	1	 32631838_ES
infección por sarscov2	trombocitosis	1	 32353183-B_ES
diabetes mellitus	linfocitopenia	1	 32399451_ES
dilatación coronaria	infección	1	 32265235_ES
derrame pericárdico	insuficiencia renal	1	 32427645_ES
hipovolemia	trombosis venosa	1	32399449_ES
anosmia	diabetes de tipo 2	1	 32653960_ES
infección bacteriana	síndrome meníngeo	1	32283294_ES
derrame pleural	deshidratación	1	 32638347B_ES
coagulación intravascular generalizada	hipertensión pulmonar	1	32277408_ES
infección vírica	leucocitosis	1	 32265235_ES
covid19	insuficiencia cardíaca aguda	1	 32363336-B_ES
derrame pericárdico	síndrome de dificultad respiratoria aguda	1	 32593338_ES
derrame pericárdico	linfoadenopatía	2	 32265235_ES, 32593338_ES
hematuria	lesiones pulmonares	1	32277408_ES
neumonía atípica	neumonía por covid19	1	 32292915_ES
hipertensión	neumonía	1	 32607304_Es
conjuntivitis	leucocitosis	1	 32265235_ES
neumonía por covid19	sdra grave	1	 32292915_ES
diabetes	infección por covid19	2	 32292904_ES, 32653960_ES
leucocitopenia	taquicardia sinusal	1	 32363351_ES
hipertensión	ictus isquémico	1	 32586778_ES
hipertensión	insuficiencia renal crónica	2	 32638347A_ES, 32617903A_ES
gestación	insuficiencia cardíaca aguda	1	 32363336-B_ES
covid19	trastorno psicótico	1	 32639089_ES
hematuria	neumonía grave	1	32277408_ES
covid19	insomnio	1	 32399450_ES
derrame pleural	hiponatremia	1	 32635747_ES
miopericarditis aguda	taquicardia	1	 32584431_ES
lesiones miocárdicas	taquicardia ventricular	1	32329981_ES
covid19	gestación	1	 32363336-B_ES
linfocitopenia	neumonía por covid19	3	 32351657_ES, 32208010_ES, 32553608­B_ES
tabaquismo	trombocitopenia	1	 32399450_ES
ictus isquémico	taquicardia	1	 32586778_ES
insuficiencia respiratoria	lesión renal aguda	1	 32617903A_ES
embolia pulmonar	trombosis venosa	1	32399449_ES
abrasión del labio inferior	ansiedad	1	32593478_ES
lesión renal aguda	síndrome de dificultad respiratoria aguda	2	 32426200_ES, 32359711_ES
acidosis láctica	derrame pericárdico	1	 32622823_ES
dislipidemia	taquicardia	1	 32360439_ES
estado epiléptico	hipertensión	1	 32589794_ES
coagulopatía	linfoadenopatía cervical	1	32427161_ES
infección pulmonar	insuficiencia respiratoria	1	 32174057_ES
crisis	estado epiléptico	1	 32589794_ES
hemorragia	síndrome de dificultad respiratoria aguda	1	 32426200_ES
lesión renal aguda	trombosis venosa profunda	1	 32426200_ES
hiponatremia	leucocitosis	1	 32265235_ES
enfermedad pulmonar obstructiva crónica	hipovolemia	1	32399449_ES
choque séptico	dilatación del ventrículo	1	 32275347_ES
hemorragia alveolar difusa	trombocitopenia	1	 32622819A_ES
eritema polimorfo grave	infección	1	32589314_ES
diabetes de tipo 2	gestación	1	 32618794_ES
neumonía	osteoporosis	1	 32622819A_ES
lesión miocárdica	neumonía atípica	1	 32292915_ES
arteriopatía coronaria	neumonía atípica	1	 32222713_ES
arteriopatía coronaria	infección vírica	1	 32222713_ES
insuficiencia circulatoria	síndrome respiratorio agudo grave por coronavirus 2	1	32250095_ES
enfermedades cardiovasculares	hipertensión	1	32415334_ES
neuropatía aguda sensitivomotora axónica	síndrome de guillainbarré	1	32359804_ES
choque cardiogénico	leucocitopenia	1	 32363351_ES
infección por covid19	neumonía	1	 32623310_ES
fibrilación auricular	infección vírica	1	 32222713_ES
cardiopatía isquémica	neumonía bilateral	1	 32622483_ES
derrame pleural	síndrome de dificultad respiratoria aguda	1	 32222713_ES
insuficiencia cardíaca aguda	neumonía atípica	1	32363336_ES
infección	taquicardia	3	 32593478_ES, 32318729_ES, 32351657_ES
tromboembolia pulmonar	trombofilia	1	 32402687-B_ES
hipertensión	nefropatía crónica	3	 32612465D_ES, 32638890_ES, 32612465C_ES
acidosis láctica	hiperleucocitosis	1	32351657_ES
choque séptico	hipertensión pulmonar	1	32277408_ES
lesión miocárdica	sdra grave	1	 32292915_ES
neumonía por sarscov2	obesidad	1	 32553608­B_ES
arteriopatía coronaria	derrame pericárdico	1	 32267502_ES
diabetes mellitus de tipo 2	dislipidemia	1	 32363351_ES
infección por covid19	insuficiencia respiratoria	2	 32399694­­_ES, 32174057_ES
insuficiencia renal aguda	taquicardia	1	 32586778_ES
diarrea intermitente	nefropatía por IgA	1	32222713_ES
hipertensión	obesidad	1	 32650881_ES
muerte	neumonía bilateral	1	 32245909_ES
cardiomiopatía isquémica	fibrilación auricular	1	 32222713_ES
diabetes	síndrome respiratorio agudo grave	1	 32292915_ES
anemia normocítica	infección por covid19	1	 32554425_ES
afasia anómica	nefropatía crónica	1	32360439-D_ES
hematuria	obesidad	1	 32292915_ES
insuficiencia respiratoria grave	sdra	1	 32399451_ES
infección por sarscov2	varicela zóster	3	 32653906_ES, 32161941_ES, 32590204_ES
covid19	neumonía vírica	2	 32612435_ES, 32292053_ES
neumonía intersticial	opacidades pulmonares	1	32557532_ES
claustrofobia	paro cardíaco súbito	1	32085846_ES
hemofagocitosis	infección vírica	1	 32615155_ES
delirio confusional	hipoxia	1	32586752_ES
arteriopatía coronaria	insuficiencia respiratoria	2	32616174_ES, 32612465A_ES
hipernatremia	síndrome de dificultad respiratoria aguda	1	 32426200_ES
colitis ulcerosa	covid19	1	 32245909_ES
diabetes mellitus	neumonía bilateral	1	 32399451_ES
parto	taquicardia fetal	1	 32590725_ES
infección vírica	linfoadenopatía	2	32640066_ES, 32265235_ES
acidosis láctica	choque séptico	1	 32622823_ES
insuficiencia renal crónica	paro cardíaco	1	 32615807B_ES
deshidratación moderada	hiponatremia	1	32640066_ES
anemia	embarazo	1	 32590725_ES
insuficiencia multiorgánica	paraplejia	1	 32399950_ES
linfocitopenia	taquicardia	4	 32353183_ES, 32586958_ES, 32351657_ES, 32427161_ES
diabetes mellitus	neumonía intersticial	1	 32399451_ES
insuficiencia multiorgánica	síndrome de guillainbarré	1	 32619798_ES
hipernatremia	hipotiroidismo	1	 32638347B_ES
insuficiencia mitral	preeclampsia	1	32554811_ES
embolia pulmonar	sobreinfecciones bacterianas	1	 32631838_ES
arritmias	hipertensión arterial	1	 32638347C_ES
encefalitis	trombocitopenia	1	 32554425_ES
encefalitis	síndrome inflamatorio	1	 32554425_ES
hipoalbuminemia	infección vírica	1	 32265235_ES
neumonía atípica	síndrome de dificultad respiratoria aguda	2	 32292915_ES, 32222713_ES
colitis ulcerosa	fumadora	1	32412848_ES
derrame pericárdico	taquicardia	2	 32584431_ES, 32427645_ES
lesión renal aguda	linfoadenopatía cervical	1	 32292867_ES
choque cardiogénico	síndrome coronario agudo	1	 32363351_ES
diabetes mellitus	infección por covid19	2	 32623310_ES, 32653960_ES
insuficiencia mitral	obesidad	1	 32631645_ES
dislipidemia	síndrome coronario agudo	1	 32363351_ES
dislipidemia	insuficiencia respiratoria grave	1	 32648092A_ES
SNC	anemia normocítica	1	32639461_ES
derrame pericárdico	sarscov2	1	 32635747_ES
neumonía	trombosis venosa profunda	1	 32426200_ES
diabetes mellitus	dislipidemia	1	 32648092B_ES
colestasis	trombocitopenia	1	 32294340_ES
insuficiencia renal aguda	miopericarditis	1	32635747_ES
embolia pulmonar	miocarditis	1	 32267502_ES
covid19	trombosis venosa profunda	1	 32631646_ES
diabetes mellitus de tipo 2	hipotensión	1	 32638890_ES
hipotiroidismo	infección por covid19	1	 32637266B_ES
diabetes mellitus de tipo 2	trombocitopenia	1	 32622819A_ES
gestación	infección por covid19	1	 32363336-B_ES
infección por covid19	leucocitopenia	1	 32363351_ES
dilatación coronaria	hipoalbuminemia	1	 32265235_ES
diabetes mellitus	insomnio	1	 32399450_ES
infección	neumonía por covid19	3	 32593478_ES, 32351657_ES, 32606044_ES
consolidación mixta segmentaria	síndrome respiratorio agudo grave	1	32266524_ES
covid19	taquicardia sinusal	1	 32423911_ES
hipertensión arterial	insuficiencia mitral	1	 32631645_ES
derrame pleural	hipotiroidismo	1	 32638347B_ES
neumonía vírica	parto vaginal	1	 32590725_ES
SGB	parálisis facial	1	 32399950_ES
claustrofobia	hipoxemia	1	32085846_ES
infección por sarscov2	recién nacido	1	 32161941_ES
leucocitopenia	sdra	1	 32363351_ES
gestación	hipotiroidismo	2	 32161941_ES, 32363217_ES
derrame pericárdico perimetral moderado	miopericarditis	1	32635747_ES
infecciones	obesidad	1	 32292915_ES
fumadora	sdra	1	 32426200_ES
dilatación ventricular	infección por covid19	1	 32423738_ES
anemia	parto	2	 32590725_ES, 32292867_ES
lesiones cutáneas	neumonía	1	 32425356_ES
embolia pulmonar	neumonía grave por covid19	1	 32631838_ES
conjuntivitis	nefropatía	1	32640066_ES
diabetes	nefropatía crónica	2	 32292915_ES, 32292867_ES
dislipidemia	síndrome de dificultad respiratoria aguda	1	 32363351_ES
covid19	deshidratación	1	 32638347B_ES
dilatación coronaria	leucocitosis	1	 32265235_ES
linfoadenopatía cervical	nefropatía	1	 32292867_ES
diabetes	hematuria	1	 32292915_ES
enfermedad por coronavirus 2019	trombocitopenia	1	 32359711_ES
anemia	linfoadenopatía cervical	2	 32292867_ES,32427161_ES
miocarditis	preeclampsia	1	32554811_ES
diabetes	linfoadenopatía cervical	1	 32292867_ES
fumadora	neumonía	1	 32426200_ES
diabetes mellitus de tipo 2	síndrome de dificultad respiratoria aguda	1	 32363351_ES
neumotórax	taquicardia sinusal	1	 32423911_ES
insuficiencia renal crónica	lesión renal aguda	1	 32617903A_ES
atelectasia subsegmentaria	derrame pleural	1	32292867_ES
diabetes mellitus de tipo 2	parto	1	 32292867_ES
disfunción esfinteriana	sarscov2	1	32601756_ES
hepatomegalia	varicela zóster	1	 32636116_ES
hipoalbuminemia	taquicardia sinusal	1	 32265235_ES
infección	infección por sarscov2	1	 32606044_ES
anemia normocítica	síndrome de dificultad respiratoria aguda	1	32639461_ES
hematuria	lesión miocárdica	1	 32292915_ES
leucocitosis	linfoadenopatía	1	 32265235_ES
enfisema	hipoxemia grave	1	 32207255_ES
hipertensión	linfocitopenia	3	 32648092C_ES, 32586958_ES, 32205138_ES
infección por sarscov2	insuficiencia mitral	1	 32412848_ES
hipotiroidismo	infecciones	1	 32161941_ES
nefropatía crónica	síndrome de dificultad respiratoria aguda	1	 32292915_ES
hipertensión arterial	hipotiroidismo	1	 32631645_ES
infección	insuficiencia respiratoria aguda	1	 32351657_ES
hipernatremia	síndrome inflamatorio	1	 32638347B_ES
infecciones	infección por sarscov2	1	 32161941_ES
infección	linfocitopenia	2	 32351657_ES, 32399451_ES
insomnio	tabaquismo	1	 32399450_ES
hipernatremia	muerte	1	32620682_ES
hemorragia	parto vaginal	1	 32590725_ES
consolidación parenquimatosa	microtrombos pulmonares	1	32637327B_ES
hemoptisis	infección por covid19	1	 32174057_ES
covid19	infección	2	 32593478_ES, 32638347C_ES
insuficiencia cardíaca aguda	obesidad	1	32363336_ES
hemoptisis	tuberculosis	1	 32174057_ES
encefalitis	hipoxemia grave	1	 32554425_ES
arteriopatía coronaria	enfermedad pulmonar obstructiva crónica	1	 32622819A_ES
hipotensión	neumotórax	1	 32320556_ES
crisis	hipertensión	1	 32589794_ES
síndrome de guillainbarré	trombocitopenia	1	 32246917_ES
derrame pleural	lesiones pulmonares	1	 32208010_ES
asma leve intermitente	fumadora	1	32412848_ES
choque séptico	sobreinfecciones	1	 32282871_ES
arteriopatía coronaria obstructiva	lesiones miocárdicas	1	32329981_ES
embarazo	hipertensión	2	 32161941_ES, 32637327B_ES
sobreinfección	síndrome de dificultad respiratoria aguda	1	 32222713_ES
derrame pleural	insuficiencia respiratoria	1	 32174057_ES
cardiomiopatía isquémica	sobreinfección	1	 32222713_ES
infección por covid19	miopericarditis	1	 32363351_ES
diabetes mellitus	neumonía grave por covid19	1	 32631838_ES
neumonía por covid19	neumonía por sarscov2	1	 32553608­B_ES
anemia	gestación	1	 32590725_ES
cardiopatías	infecciones	1	 32161941_ES
hipertensión	recién nacido	1	 32161941_ES
deshidratación	taquicardia sinusal	2	32640066_ES, 32399449_ES
hipertensión	lesión renal aguda	3	 32637266A_ES, 32617903A_ES, 32617903B_ES
infección por covid19	síndrome de dificultad respiratoria aguda por coronavirus 2	1	 32623310_ES
hiperglucemia	infección por 2019ncov	1	32168162_ES
derrame pleural	síndrome inflamatorio	1	 32638347B_ES
choque séptico	hematuria	1	32277408_ES
neumonía atípica	taquicardia fetal	1	32363336_ES
diabetes mellitus	hipertensión	6	 32637266A_ES, 32589794_ES, 32638347A_ES, 32648092B_ES, 32638347B_ES, 32612465A_ES
hipotiroidismo	trombosis venosa profunda	1	 32402687_ES
osteoporosis	trombocitopenia	1	 32622819A_ES
choque cardiogénico	diabetes mellitus de tipo 2	1	 32363351_ES
hepatomegalia	infección pulmonar	1	 32292053_ES
embolia pulmonar	enfermedad pulmonar obstructiva crónica	1	32399449_ES
infección por covid19	insuficiencia respiratoria hipóxica	1	 32363351_ES
insuficiencia respiratoria grave	linfocitopenia	1	 32399451_ES
covid19	hipotensión	3	 32589931_ES, 32320556_ES, 32427161_ES
insuficiencia cardiaca congestiva	neumonía bilateral	1	 32622483_ES
anosmia	infección por covid19	1	 32653960_ES
hipertensión	taquicardia sinusal	4	 32399449_ES, 32586778_ES, 32363351_ES, 32277408_ES
infección por covid19	neumotórax	1	 32423911_ES
coagulación intravascular generalizada	neumonía grave	1	32277408_ES
diabetes mellitus	hiperglucemia	1	 32589794_ES
hipotensión	neumonía bilateral	1	 32622483_ES
asma eosinofílica grave	obesidad	1	 32553608­B_ES
covid19	hipertensión	5	 32352486_ES, 32638347A_ES, 32638347B_ES, 32360439-B_ES,32415334_ES
diabetes mellitus	fibrilación auricular	2	 32638347A_ES, 32638347B_ES
diabetes	recién nacido	1	 32161941_ES
anemia	nefropatía	1	 32292867_ES
choque séptico	insuficiencia multiorgánica	3	32277408_ES, 32617223_ES, 32359711_ES
derrame pleural	tuberculosis	1	 32174057_ES
acidosis transitoria	neumonía bilateral grave	1	32363217_ES
hiperlipidemia	hipertensión	4	 32637266A_ES, 32427774-B_ES, 32427774_ES, 32360439-B_ES
crisis	varicela zóster	1	32563170_ES
covid19	insuficiencia renal aguda	1	 32612435_ES
arteriopatía periférica	insuficiencia renal crónica	1	32352486_ES
cardiomegalia	hepatomegalia	1	 32636116_ES
conjuntivitis	insuficiencia mitral	1	 32639461_ES
choque cardiogénico	taquicardia sinusal	1	 32363351_ES
infección por covid19	lesión renal aguda	1	 32637266B_ES
anosmia	crisis	1	 32589794_ES
hipertensión	síndrome de dificultad respiratoria aguda por coronavirus 2	1	 32586778_ES
crisis	hiperglucemia	1	 32589794_ES
diabetes mellitus de tipo 2	osteoporosis	1	 32622819A_ES
hipertensión	sobreinfección	1	 32277408_ES
colestasis	derrame pericárdico perimetral moderado	1	32635747_ES
hiponatremia	sarscov2	1	 32635747_ES
arritmias	hipertensión	1	 32360439-B_ES
insuficiencia respiratoria hipoxémica aguda	trastorno esquizoafectivo	1	32637266A_ES
neumonía vírica	trombosis venosa profunda	2	 32402687-B_ES, 32402687_ES
anemia normocítica	infección	2	 32318729_ES, 32265235_ES
anemia normocítica	taquicardia sinusal	1	 32265235_ES
hipertensión	insuficiencia respiratoria hipóxica	1	 32363351_ES
infecciones	lesión miocárdica	1	 32292915_ES
intoxicación por litio	lesión renal aguda	1	 32637266A_ES
insuficiencia multiorgánica	parálisis facial	1	 32399950_ES
derrame pleural	infección por covid19	1	 32174057_ES
hipoxemia	paro cardíaco súbito	1	32085846_ES
síndrome de dificultad respiratoria aguda por coronavirus 2	trastorno psicótico	1	32593478_ES
hipoxia	nefropatía por IgA	1	 32198834_ES
derrame pericárdico	neumonía grave	1	32277408_ES
deshidratación	hipoxia	1	 32198834_ES
gestación	infección	1	 32594429_ES
choque cardiogénico	miopericarditis	1	 32363351_ES
gestación	síndrome de dificultad respiratoria aguda por coronavirus 2	1	 32590725_ES
paro cardíaco	taquicardia	1	 32360384_ES
diabetes	diabetes mellitus de tipo 2	1	 32292867_ES
deshidratación	insuficiencia respiratoria grave	1	 32399449_ES
asma leve intermitente	colitis ulcerosa	1	32412848_ES
fumadora	síndrome de dificultad respiratoria aguda	1	 32426200_ES
síndrome coronario agudo	síndrome de dificultad respiratoria aguda	1	 32363351_ES
opacidades pulmonares	trombosis venosa profunda	1	 32402687_ES
arritmias	neumonía bilateral grave	1	 32638347C_ES
anemia normocítica	sarscov2	1	 32401344_ES
diabetes mellitus de tipo 2	sdra	1	 32363351_ES
diabetes de tipo 2	hipotiroidismo	1	 32619736_ES
neumonía grave por covid19	taquicardia	1	 32631838_ES
dislipidemia	insuficiencia respiratoria	1	 32617903A_ES
hipotensión	sdra	1	 32426200_ES
apendicitis aguda	dilatación coronaria	1	32427161_ES
angina vasoespástica	diabetes mellitus	1	32611659_ES
derrame pleural	fibrilación auricular	2	 32638347B_ES, 32222713_ES
hipoalbuminemia	sobrepeso	1	32589931_ES
hipertensión pulmonar	lesiones pulmonares	1	32277408_ES
obesidad	taquicardia ventricular	1	 32292915_ES
arritmias	infección	1	 32638347C_ES
anemia	taquicardia fetal	1	 32590725_ES
derrame pericárdico	lesiones cutáneas	1	 32584431_ES
hiperlipidemia	neumonía por covid19	1	 32637266A_ES
diabetes mellitus	insuficiencia respiratoria grave	1	 32399451_ES
insuficiencia renal crónica	insuficiencia respiratoria	2	 32638347A_ES, 32617903A_ES
gestación	parto vaginal	1	 32590725_ES
hipoalbuminemia	linfoadenopatía	1	 32265235_ES
hipotiroidismo	varicela zóster	1	 32161941_ES
fumadora	lesión renal aguda	1	 32426200_ES
fibrilación auricular	neumonía atípica	1	 32222713_ES
arteriopatía coronaria obstructiva	taquicardia ventricular	1	32329981_ES
hemorragia	insuficiencia cardiaca congestiva	1	 32622483_ES
anomalía en el tabique auricular	miocarditis	1	32554811_ES
derrame pericárdico	hiponatremia	2	 32265235_ES, 32635747_ES
covid19	diabetes mellitus de tipo 2	2	 32292867_ES, 32360439-B_ES
insuficiencia cardiaca	sobreinfección	1	32638347A_ES
conjuntivitis	linfocitopenia	1	 32427161_ES
TCA superior	hipoalbuminemia	1	32589931_ES
cardiomegalia	derrame pleural bilateral	1	32607304_Es
cardiopatías	choque séptico	1	32277408_ES
fibrilación auricular	insuficiencia respiratoria	1	 32638347A_ES
hipertrofia biventricular	paro cardíaco	1	32423738_ES
neumonía vírica	taquicardia fetal	1	 32590725_ES
anosmia	infección por sarscov2	1	 32605712_ES
hemorragia	insuficiencia respiratoria	1	 32583150B_ES
gestación	recién nacido	1	 32161941_ES
neumonía intersticial	síndrome de dificultad respiratoria aguda	1	 32399451_ES
neumonía por covid19	neumonía vírica	1	 32208010_ES
deshidratación	hipotensión	1	32640066_ES
derrame pericárdico	derrame pleural	2	 32635747_ES, 32427645_ES
lesión renal aguda	sdra grave	1	 32426200_ES
delirio extravagante	tromboembolia pulmonar	1	32639089_ES
derrame pericárdico	embolia pulmonar	1	 32267502_ES
dilatación ventricular	hepatomegalia	1	32427645_ES
asma	lesiones pulmonares	1	 32073161_ES
hematuria	neumonía atípica	1	 32292915_ES
arteriopatía coronaria	hemorragia alveolar difusa	1	 32622819A_ES
disfunción esfinteriana	paraplejia	1	32601756_ES
neumotórax bilateral	sdra grave	1	32612465B_ES
deshidratación	insuficiencia renal aguda	1	 32399449_ES
atelectasia subsegmentaria	dislipidemia	1	32292867_ES
dislipidemia	neumonía atípica	1	 32360439_ES
enfermedad por coronavirus 2019	síndrome de dificultad respiratoria aguda	3	 32292915_ES,32639461_ES, 32359711_ES
anosmia	diabetes	2	 32589794_ES, 32653960_ES
covid19	miocarditis aguda	2	 32556106_ES, 32616174_ES
covid19	linfoadenopatía	1	 32593338_ES
infección bacteriana	neumotórax	1	 32423911_ES
hematuria	insuficiencia multiorgánica	1	32277408_ES
hemorragia	infección por covid19	1	 32554425_ES
neumonía por covid19	sarscov2	1	 32245909_ES
hemorragia	hipoxemia grave	1	 32554425_ES
cardiopatía isquémica	sarscov2	1	 32622483_ES
conjuntivitis	linfoadenopatía	2	32640066_ES, 32265235_ES
disfunción esfinteriana	opacidades de vidrio esmerilado en ambos pulmones	1	32601756_ES
afasia anómica	hiperlipidemia	1	32360439-D_ES
insuficiencia mitral	neumonía vírica	1	 32412848_ES
diabetes	neumonía vírica	1	 32161941_ES
asma	linfocitopenia	1	 32553608­B_ES
disfunción esfinteriana	tabaquismo	1	32601756_ES
hipertensión pulmonar	taquicardia	1	 32427645_ES
hipoxemia	lesión renal aguda	1	 32617903B_ES
covid19	neumonía	2	 32364123_ES, 32425356_ES
deshidratación	síndrome inflamatorio	1	 32638347B_ES
neumonía intersticial	psoriasis crónica en placas moderada	1	32557532_ES
cardiopatía isquémica	insuficiencia cardiaca congestiva	1	 32622483_ES
anosmia	taquicardia	2	 32318729_ES, 32631838_ES
cardiomegalia	trombocitopenia	1	 32636116_ES
paro cardíaco súbito	sobreinfecciones	1	32085846_ES
claustrofobia	sobreinfecciones	1	32085846_ES
covid19	insuficiencia respiratoria	1	 32638347A_ES
infección por covid19	tuberculosis	1	 32174057_ES
derrame pericárdico	sdra	1	32277408_ES
leucocitopenia	trombocitopenia	1	 32636116_ES
insuficiencia cardíaca aguda	taquicardia fetal	1	32363336_ES
artropatía degenerativa cervical	síndrome coronario agudo	1	3229222_ES
derrame pericárdico	hipoalbuminemia	1	 32265235_ES
derrame pericárdico	miopericarditis aguda	1	 32584431_ES
nefropatía	taquicardia sinusal	1	32640066_ES
diabetes gestacional	insuficiencia cardíaca aguda	1	32363336_ES
diabetes mellitus de tipo 2	taquicardia sinusal	1	 32363351_ES
diabetes mellitus de tipo 2	miopericarditis	1	 32363351_ES
diabetes	enfermedades cardiovasculares	1	32415334_ES
neumonía intersticial grave	taquicardia sinusal	1	 32360384_ES
ansiedad	covid19	1	 32399450_ES
anemia normocítica	hemorragia	1	 32554425_ES
derrame pleural	insuficiencia mitral	1	 32427645_ES
covid19	insuficiencia mitral	2	 32631645_ES, 32427645_ES
anemia	lesión renal aguda	1	 32292867_ES
hepatomegalia	neumonía vírica	1	 32292053_ES
diabetes de tipo 2	insuficiencia respiratoria aguda	2	 32073161_ES, 32619736_ES
neumonía	neumonía extrahospitalaria	1	 32611659_ES
insuficiencia respiratoria hipoxémica	síndrome de dificultad respiratoria aguda por coronavirus 2	1	32593478_ES
delirio	neumonía vírica	1	 32612435_ES
hipoalbuminemia	leucocitosis	1	 32265235_ES
hipertensión pulmonar	neumonía vírica	1	32277408_ES
enfermedad por coronavirus 2019	lesión miocárdica	1	 32292915_ES
enfermedad pulmonar obstructiva crónica	trombosis venosa	1	32399449_ES
neumonía vírica	varicela zóster	1	 32161941_ES
diabetes de tipo 2	hipertensión arterial	1	 32329981_ES
hipotensión	insuficiencia cardiaca congestiva	1	 32622483_ES
bacteremia por E coli	neumonía multifocal	1	32617223_ES
hipertensión	hipotiroidismo	3	 32161941_ES, 32619736_ES, 32638347B_ES
lesión renal aguda	trombocitopenia	1	 32359711_ES
infección pulmonar	tuberculosis	1	 32174057_ES
diabetes mellitus	tabaquismo	1	 32399450_ES
derrame pleural	neumonía por covid19	2	 32399449-B_ES, 32208010_ES
diabetes tipo 2	síndrome de dificultad respiratoria aguda por coronavirus 2	1	 32586778_ES
neumonía vírica	opacidades pulmonares	1	 32402687_ES
choque cardiogénico	infección por covid19	1	 32363351_ES
estado epiléptico	hiperglucemia	1	 32589794_ES
infarto agudo	lesión renal aguda	1	 32426200_ES
lesiones pulmonares	sdra	1	32277408_ES
embolia pulmonar	hipovolemia	1	32399449_ES
insuficiencia renal aguda	síndrome de dificultad respiratoria aguda por coronavirus 2	1	 32586778_ES
adenopatía en el lado derecho del cuello	trombocitopenia	1	32427645_ES
hipoxemia grave	neumonía intersticial grave	1	 32360384_ES
covid19	taquicardia	4	 32593478_ES, 32320556_ES, 32427645_ES, 32427161_ES
taquicardia	taquicardia sinusal	3	 32360384_ES, 32586778_ES, 32584431_ES
diabetes	taquicardia ventricular	1	 32292915_ES
dilatación del ventrículo	insuficiencia respiratoria	1	32616174_ES
hipertensión arterial	insuficiencia respiratoria grave	1	 32399451_ES
derrame pleural	sdra	1	 32222713_ES
enfermedad por coronavirus 2019	síndrome respiratorio agudo grave	1	 32292915_ES
arteriopatía coronaria	miocarditis	1	 32267502_ES
infección	sdra	1	 32399451_ES
derrame pericárdico	lesiones pulmonares	1	32277408_ES
miopericarditis aguda	taquicardia sinusal	1	 32584431_ES
arritmia	hipotiroidismo	1	32329981_ES
