span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename	filename_positive	filename_certain
IMC	ENTIDAD-OBSERVABLE	7	3.5	7	IMC			IMC	IMC	32653960_ES, 32267140_ES, 32618794_ES, 32637327B_ES, 32637327A_ES, 32363336-B_ES, 32363336_ES	32653960_ES, 32267140_ES, 32618794_ES, 32637327B_ES, 32637327A_ES, 32363336-B_ES, 32363336_ES	32653960_ES, 32267140_ES, 32618794_ES, 32637327B_ES, 32637327A_ES, 32363336-B_ES, 32363336_ES
troponina I	ENTIDAD-OBSERVABLE	5	2.5	5	troponina I			troponina I	troponina I	32179908_ES, 32363351_ES, 32399449_ES, 32556106_ES, 32282027_ES	32179908_ES, 32363351_ES, 32399449_ES, 32556106_ES, 32282027_ES	32179908_ES, 32363351_ES, 32399449_ES, 32556106_ES, 32282027_ES
ferritina sérica	ENTIDAD-OBSERVABLE	3	1.5	5	ferritina sérico	165627009		ferritina sérica	ferritina serica	32637086B_ES, 32399449_ES, 32637086A_ES	32637086B_ES, 32399449_ES, 32637086A_ES	32637086B_ES, 32399449_ES, 32637086A_ES
índice de masa corporal	ENTIDAD-OBSERVABLE	4	2.0	4	índice de masa corporal	162859006, 60621009	C1305855, C1305855	índice de masa corporal	indice de masa corporal	32317275_ES, 32363336_ES, 32618794_ES, 32619736_ES	32317275_ES, 32363336_ES, 32618794_ES, 32619736_ES	32317275_ES, 32363336_ES, 32618794_ES, 32619736_ES
fibrinógeno	ENTIDAD-OBSERVABLE	4	2.0	4	fibrinógeno	23295004, 71636003		fibrinógeno	fibrinogeno	32294258_ES, 32584431_ES, 32399449_ES, 32276139_C_ES	32294258_ES, 32584431_ES, 32399449_ES, 32276139_C_ES	32294258_ES, 32584431_ES, 32399449_ES, 32276139_C_ES
apgar	ENTIDAD-OBSERVABLE	4	2.0	4	apgar			Apgar	apgar	32161941_ES, 32119083_ES, 32637327B_ES, 32637327A_ES	32161941_ES, 32119083_ES, 32637327B_ES, 32637327A_ES	32161941_ES, 32119083_ES, 32637327B_ES, 32637327A_ES
AST	ENTIDAD-OBSERVABLE	4	2.0	4	AST			AST	AST	32363336-B_ES, 32363336_ES, 32417987_ES, 32653960_ES	32363336-B_ES, 32363336_ES, 32417987_ES, 32653960_ES	32363336-B_ES, 32363336_ES, 32417987_ES, 32653960_ES
ALT	ENTIDAD-OBSERVABLE	4	2.0	4	ALT			ALT	ALT	32363336-B_ES, 32363336_ES, 32417987_ES, 32653960_ES	32363336-B_ES, 32363336_ES, 32417987_ES, 32653960_ES	32363336-B_ES, 32363336_ES, 32417987_ES, 32653960_ES
tiempo de tromboplastina	ENTIDAD-OBSERVABLE	3	1.5	3	tiempo de tromboplastina			tiempo de tromboplastina	tiempo de tromboplastina	32266524_ES, 32402687_ES, 32402687-B_ES	32266524_ES, 32402687_ES, 32402687-B_ES	32266524_ES, 32402687_ES, 32402687-B_ES
sodio sérico	ENTIDAD-OBSERVABLE	3	1.5	3	sodio sérico			sodio sérico	sodio serico	32586752_ES, 32639064_ES, 32417987_ES	32586752_ES, 32639064_ES, 32417987_ES	32586752_ES, 32639064_ES, 32417987_ES
proteína sérica	ENTIDAD-OBSERVABLE	2	1.0	3	proteína sérico	79329006		proteína sérica	proteina serica	32615155_ES, 32622823_ES	32615155_ES, 32622823_ES	32615155_ES, 32622823_ES
presión parcial de oxígeno	ENTIDAD-OBSERVABLE	3	1.5	3	presión parcial de oxígeno	250546000		presión parcial de oxígeno	presion parcial de oxigeno	32161941_ES, 32607304_Es, 32292053_ES	32161941_ES, 32607304_Es, 32292053_ES	32161941_ES, 32607304_Es, 32292053_ES
marcadores inflamatorios	ENTIDAD-OBSERVABLE	3	1.5	3	marcador inflamatorio			marcadores inflamatorios	marcadores inflamatorios	32427645_ES, 32360439-D_ES, 32275347_ES	32427645_ES, 32360439-D_ES, 32275347_ES	32427645_ES, 32360439-D_ES, 32275347_ES
marcadores de inflamación	ENTIDAD-OBSERVABLE	3	1.5	3	marcador de inflamación			marcadores de inflamación	marcadores de inflamacion	32320556_ES, 32201125_ES, 32622819B_ES	32320556_ES, 32201125_ES, 32622819B_ES	32320556_ES, 32201125_ES, 32622819B_ES
función renal	ENTIDAD-OBSERVABLE	3	1.5	3	función renal	11953005		función renal	funcion renal	32653906_ES, 32292867_ES, 32622483_ES	32653906_ES, 32292867_ES, 32622483_ES	32653906_ES, 32292867_ES, 32622483_ES
cociente ttpa	ENTIDAD-OBSERVABLE	1	0.5	3	cociente ttpa			cociente TTPa	cociente ttpa	32589931_ES	32589931_ES	32589931_ES
carga vírica	ENTIDAD-OBSERVABLE	2	1.0	3	carga vírico			carga vírica	carga virica	32352486_ES, 32607564_ES	32352486_ES, 32607564_ES	32352486_ES, 32607564_ES
actividad renal	ENTIDAD-OBSERVABLE	3	1.5	3	actividad renal			actividad renal	actividad renal	32427645_ES, 32618794_ES, 32617223_ES	32427645_ES, 32618794_ES, 32617223_ES	32427645_ES, 32618794_ES, 32617223_ES
índice de apgar	ENTIDAD-OBSERVABLE	2	1.0	2	índice de apgar			índice de Apgar	indice de apgar	32363217_ES, 32594151_ES	32363217_ES, 32594151_ES	32363217_ES, 32594151_ES
volumen globular	ENTIDAD-OBSERVABLE	2	1.0	2	volumen globular			volumen globular	volumen globular	32318729_ES, 32611659_ES	32318729_ES, 32611659_ES	32318729_ES, 32611659_ES
troponina-i	ENTIDAD-OBSERVABLE	2	1.0	2	troponina-i			troponina-I	troponinai	32363336-B_ES, 32639461_ES	32363336-B_ES, 32639461_ES	32363336-B_ES, 32639461_ES
troponina cardiaca	ENTIDAD-OBSERVABLE	2	1.0	2	troponina cardiaco			troponina cardiaca	troponina cardiaca	32329981_ES, 32586778_ES	32329981_ES, 32586778_ES	32329981_ES, 32586778_ES
presión sistólica	ENTIDAD-OBSERVABLE	2	1.0	2	presión sistólico	271649006		presión sistólica	presion sistolica	32360384_ES, 32277408_ES	32360384_ES, 32277408_ES	32360384_ES, 32277408_ES
presión parcial de oxígeno arterial	ENTIDAD-OBSERVABLE	2	1.0	2	presión parcial de oxígeno arterial			presión parcial de oxígeno arterial	presion parcial de oxigeno arterial	32412848_ES, 32418288_ES	32412848_ES, 32418288_ES	32412848_ES, 32418288_ES
presión parcial arterial	ENTIDAD-OBSERVABLE	1	0.5	2	presión parcial arterial			presión parcial arterial	presion parcial arterial	32414534_ES	32414534_ES	32414534_ES
nt-probnp	ENTIDAD-OBSERVABLE	2	1.0	2	nt-probnp			NT-proBNP	ntprobnp	3229222_ES, 32267502_ES	3229222_ES, 32267502_ES	3229222_ES, 32267502_ES
lactato sérico	ENTIDAD-OBSERVABLE	1	0.5	2	lactato sérico			lactato sérico	lactato serico	32278585_ES	32278585_ES	32278585_ES
hba1c	ENTIDAD-OBSERVABLE	2	1.0	2	hba1c	33601001	C0019018	HbA1c	hba1c	32612465B_ES, 32653960_ES	32612465B_ES, 32653960_ES	32612465B_ES, 32653960_ES
glucemia	ENTIDAD-OBSERVABLE	1	0.5	2	glucemia	434912009	C2585282	glucemia	glucemia	32653960_ES	32653960_ES	32653960_ES
glucano sérico	ENTIDAD-OBSERVABLE	1	0.5	2	glucano sérico			glucano sérico	glucano serico	32412848_ES	32412848_ES	32412848_ES
glasgow	ENTIDAD-OBSERVABLE	2	1.0	2	glasgow			Glasgow	glasgow	32414534_ES, 32651243_ES	32414534_ES, 32651243_ES	32414534_ES, 32651243_ES
fio2	ENTIDAD-OBSERVABLE	2	1.0	2	fio2			FiO2	fio2	32276139_B_ES, 32277408_ES	32276139_B_ES, 32277408_ES	32276139_B_ES, 32277408_ES
factor antinuclear	ENTIDAD-OBSERVABLE	1	0.5	2	factor antinuclear	45530001	C0003243	factor antinuclear	factor antinuclear	32588475_ES	32588475_ES	32588475_ES
creatina-cinasa	ENTIDAD-OBSERVABLE	1	0.5	2	creatina-cinasa	75828004	C0010287	creatina-cinasa	creatinacinasa	32607304_Es	32607304_Es	32607304_Es
bilirrubina total	ENTIDAD-OBSERVABLE	2	1.0	2	bilirrubina total	359986008	C0201913	bilirrubina total	bilirrubina total	32161941_ES, 32635747_ES	32161941_ES, 32635747_ES	32161941_ES, 32635747_ES
asat	ENTIDAD-OBSERVABLE	1	0.5	2	asat			ASAT	asat	32635747_ES	32635747_ES	32635747_ES
anticuerpos citoplasmáticos	ENTIDAD-OBSERVABLE	2	1.0	2	anticuerpo citoplasmático			anticuerpos citoplasmáticos	anticuerpos citoplasmaticos	32292867_ES, 32588475_ES	32292867_ES, 32588475_ES	32292867_ES, 32588475_ES
anticuerpos antigangliósidos	ENTIDAD-OBSERVABLE	2	1.0	2	anticuerpo antigangliósido	407051005		anticuerpos antigangliósidos	anticuerpos antigangliosidos	32588185_ES, 32651243_ES		32588185_ES, 32651243_ES
anticuerpos antifosfolipídicos	ENTIDAD-OBSERVABLE	2	1.0	2	anticuerpo antifosfolipídico	259916004	C0162595	anticuerpos antifosfolipídicos	anticuerpos antifosfolipidicos	32427161_ES, 32588475_ES	32427161_ES, 32588475_ES	32427161_ES, 32588475_ES
anticuerpos anti-gbm	ENTIDAD-OBSERVABLE	2	1.0	2	anticuerpo anti-gbm	312308000		anticuerpos anti-GBM	anticuerpos antigbm	32622819A_ES, 32622819B_ES	32622819A_ES, 32622819B_ES	32622819A_ES, 32622819B_ES
anca	ENTIDAD-OBSERVABLE	2	1.0	2	anca			ANCA	anca	32622819A_ES, 32622819B_ES	32622819A_ES, 32622819B_ES	32622819A_ES, 32622819B_ES
alat	ENTIDAD-OBSERVABLE	1	0.5	2	alat			ALAT	alat	32635747_ES	32635747_ES	32635747_ES
alanina-transaminasa	ENTIDAD-OBSERVABLE	2	1.0	2	alanina-transaminasa			alanina-transaminasa	alaninatransaminasa	32605766_ES, 32611659_ES	32605766_ES, 32611659_ES	32605766_ES, 32611659_ES
actividad sistólica	ENTIDAD-OBSERVABLE	1	0.5	2	actividad sistólico			actividad sistólica	actividad sistolica	32267502_ES	32267502_ES	32267502_ES
TSH	ENTIDAD-OBSERVABLE	2	1.0	2	TSH			TSH	TSH	32586752_ES, 32653960_ES	32586752_ES, 32653960_ES	32586752_ES, 32653960_ES
INR	ENTIDAD-OBSERVABLE	2	1.0	2	INR			INR	INR	32588475_ES, 32639461_ES	32588475_ES, 32639461_ES	32588475_ES, 32639461_ES
IL6	ENTIDAD-OBSERVABLE	2	1.0	2	IL6			IL6	IL6	32638347A_ES, 32554811_ES	32638347A_ES, 32554811_ES	32638347A_ES, 32554811_ES
BNP	ENTIDAD-OBSERVABLE	2	1.0	2	BNP			BNP	BNP	32607304_Es, 32639461_ES	32607304_Es, 32639461_ES	32607304_Es, 32639461_ES
ANA	ENTIDAD-OBSERVABLE	2	1.0	2	ANA			ANA	ANA	32622819A_ES, 32622819B_ES	32622819A_ES, 32622819B_ES	32622819A_ES, 32622819B_ES
óxido nítrico	ENTIDAD-OBSERVABLE	1	0.5	1	óxido nítrico	6710000		óxido nítrico	oxido nitrico	32554811_ES	32554811_ES	32554811_ES
índices de apgar	ENTIDAD-OBSERVABLE	1	0.5	1	índice de apgar			índices de Apgar	indices de apgar	32590725_ES	32590725_ES	32590725_ES
índice visual	ENTIDAD-OBSERVABLE	1	0.5	1	índice visual			índice visual	indice visual	32399449-B_ES	32399449-B_ES	32399449-B_ES
índice cardíaco	ENTIDAD-OBSERVABLE	1	0.5	1	índice cardíaco	54993008		índice cardíaco	indice cardiaco	32275347_ES	32275347_ES	32275347_ES
índice ROX	ENTIDAD-OBSERVABLE	1	0.5	1	índice ROX			índice ROX	indice ROX	32631838_ES	32631838_ES	32631838_ES
velocidad de filtración	ENTIDAD-OBSERVABLE	1	0.5	1	velocidad de filtración			velocidad de filtración	velocidad de filtracion	32612435_ES	32612435_ES	32612435_ES
valor de hemoglobina	ENTIDAD-OBSERVABLE	1	0.5	1	valor de hemoglobina			valor de hemoglobina	valor de hemoglobina	32594151_ES	32594151_ES	32594151_ES
ttpa	ENTIDAD-OBSERVABLE	1	0.5	1	ttpa			TTPa	ttpa	32402687_ES	32402687_ES	32402687_ES
tiempo total	ENTIDAD-OBSERVABLE	1	0.5	1	tiempo total			tiempo total	tiempo total	32590725_ES	32590725_ES	32590725_ES
tensión arterial	ENTIDAD-OBSERVABLE	1	0.5	1	tensión arterial	250765005	C1272641	tensión arterial	tension arterial	32277408_ES	32277408_ES	32277408_ES
temperatura axilar	ENTIDAD-OBSERVABLE	1	0.5	1	temperatura axilar	415882003	C1531924	temperatura axilar	temperatura axilar	32611761A_ES	32611761A_ES	32611761A_ES
saturación venosa	ENTIDAD-OBSERVABLE	1	0.5	1	saturación venoso			saturación venosa	saturacion venosa	32363351_ES	32363351_ES	32363351_ES
saturación de oxígeno arterial	ENTIDAD-OBSERVABLE	1	0.5	1	saturación de oxígeno arterial	113080007		saturación de oxígeno arterial	saturacion de oxigeno arterial	32207255_ES	32207255_ES	32207255_ES
sangre edta	ENTIDAD-OBSERVABLE	1	0.5	1	sangre edta			sangre EDTA	sangre edta	32205138_ES	32205138_ES	32205138_ES
pulso fetal	ENTIDAD-OBSERVABLE	1	0.5	1	pulso fetal			pulso fetal	pulso fetal	32161941_ES	32161941_ES	32161941_ES
proteína total	ENTIDAD-OBSERVABLE	1	0.5	1	proteína total	258757008		proteína total	proteina total	32168162_ES	32168162_ES	32168162_ES
proteína c-reactiva sérica	ENTIDAD-OBSERVABLE	1	0.5	1	proteína c-reactivo sérico			proteína C-reactiva sérica	proteina creactiva serica	32278585_ES	32278585_ES	32278585_ES
proteína amiloide A sérica	ENTIDAD-OBSERVABLE	1	0.5	1	proteína amiloide A sérico			proteína amiloide A sérica	proteina amiloide A serica	32032497_ES	32032497_ES	32032497_ES
proteína C reactiva	ENTIDAD-OBSERVABLE	1	0.5	1	proteína C reactivo			proteína C reactiva	proteina C reactiva	32653210_ES	32653210_ES	32653210_ES
proteinorraquia	ENTIDAD-OBSERVABLE	1	0.5	1	proteinorraquia			proteinorraquia	proteinorraquia	32418288_ES	32418288_ES	32418288_ES
presión venosa	ENTIDAD-OBSERVABLE	1	0.5	1	presión venoso	252076005, 50249005		presión venosa	presion venosa	32423911_ES	32423911_ES	32423911_ES
presión positiva telespiratoria	ENTIDAD-OBSERVABLE	1	0.5	1	presión positivo telespiratoria			presión positiva telespiratoria	presion positiva telespiratoria	32638890_ES	32638890_ES	32638890_ES
presión lábil	ENTIDAD-OBSERVABLE	1	0.5	1	presión lábil			presión lábil	presion labil	32605766_ES	32605766_ES	32605766_ES
presión intraocular	ENTIDAD-OBSERVABLE	1	0.5	1	presión intraocular	41633001	C0021888	presión intraocular	presion intraocular	32592761_ES	32592761_ES	32592761_ES
presión arterial diastólica	ENTIDAD-OBSERVABLE	1	0.5	1	presión arterial diastólico	67726005		presión arterial diastólica	presion arterial diastolica	32622823_ES	32622823_ES	32622823_ES
potasio sérico	ENTIDAD-OBSERVABLE	1	0.5	1	potasio sérico			potasio sérico	potasio serico	32363336_ES	32363336_ES	32363336_ES
peso corporal	ENTIDAD-OBSERVABLE	1	0.5	1	peso corporal	248345008, 27113001	C0005910, C0005910	peso corporal	peso corporal	32320556_ES	32320556_ES	32320556_ES
peroxidasa tiroidea	ENTIDAD-OBSERVABLE	1	0.5	1	peroxidasa tiroideo			peroxidasa tiroidea	peroxidasa tiroidea	32294340_ES	32294340_ES	32294340_ES
pco2	ENTIDAD-OBSERVABLE	1	0.5	1	pco2			pCO2	pco2	32644205_ES	32644205_ES	32644205_ES
pao2	ENTIDAD-OBSERVABLE	1	0.5	1	pao2			PaO2	pao2	32427774-B_ES	32427774-B_ES	32427774-B_ES
paco2	ENTIDAD-OBSERVABLE	1	0.5	1	paco2			PaCO2	paco2	32622819A_ES	32622819A_ES	32622819A_ES
pO2	ENTIDAD-OBSERVABLE	1	0.5	1	pO2			pO2	pO2	32644205_ES	32644205_ES	32644205_ES
oxígeno arterial	ENTIDAD-OBSERVABLE	1	0.5	1	oxígeno arterial			oxígeno arterial	oxigeno arterial	32427774_ES	32427774_ES	32427774_ES
nitrógeno ureico	ENTIDAD-OBSERVABLE	1	0.5	1	nitrógeno ureico	115347007, 95971004	C1291218, C1291218	nitrógeno ureico	nitrogeno ureico	32611659_ES	32611659_ES	32611659_ES
marcadores séricos	ENTIDAD-OBSERVABLE	1	0.5	1	marcador sérico			marcadores séricos	marcadores sericos	32352486_ES		32352486_ES
marcadores bioquímicos	ENTIDAD-OBSERVABLE	1	0.5	1	marcador bioquímico			marcadores bioquímicos	marcadores bioquimicos	32423911_ES	32423911_ES	32423911_ES
lactato arterial	ENTIDAD-OBSERVABLE	1	0.5	1	lactato arterial			lactato arterial	lactato arterial	32635747_ES	32635747_ES	32635747_ES
interleucina	ENTIDAD-OBSERVABLE	1	0.5	1	interleucina	38476002	C0021764	interleucina	interleucina	32278585_ES	32278585_ES	32278585_ES
hemoglobina	ENTIDAD-OBSERVABLE	1	0.5	1	hemoglobina	38082009	C0019046	hemoglobina	hemoglobina	32423911_ES	32423911_ES	32423911_ES
hematocrito	ENTIDAD-OBSERVABLE	1	0.5	1	hematocrito			hematocrito	hematocrito	32638890_ES	32638890_ES	32638890_ES
glutamil-transferasa	ENTIDAD-OBSERVABLE	1	0.5	1	glutamil-transferasa	312204001	C0678107	glutamil-transferasa	glutamiltransferasa	32611659_ES	32611659_ES	32611659_ES
función ventricular	ENTIDAD-OBSERVABLE	1	0.5	1	función ventricular	230869001		función ventricular	funcion ventricular	32399449_ES	32399449_ES	32399449_ES
frecuencia cardíaca	ENTIDAD-OBSERVABLE	1	0.5	1	frecuencia cardíaco	364075005	C0018810	frecuencia cardíaca	frecuencia cardiaca	32617223_ES	32617223_ES	32617223_ES
frecuencia cardiaca fetal	ENTIDAD-OBSERVABLE	1	0.5	1	frecuencia cardiaco fetal	249043002	C0018811	frecuencia cardiaca fetal	frecuencia cardiaca fetal	32119083_ES		32119083_ES
factor reumatoide	ENTIDAD-OBSERVABLE	1	0.5	1	factor reumatoide	77089006	C0035448	factor reumatoide	factor reumatoide	32588475_ES	32588475_ES	32588475_ES
enzimas hepáticas	ENTIDAD-OBSERVABLE	1	0.5	1	enzima hepático	259670004	C0443764	enzimas hepáticas	enzimas hepaticas	32653906_ES	32653906_ES	32653906_ES
deshidrogenasa láctica	ENTIDAD-OBSERVABLE	1	0.5	1	deshidrogenasa láctico			deshidrogenasa láctica	deshidrogenasa lactica	32587121_ES	32587121_ES	32587121_ES
creatina-fosfocinasa	ENTIDAD-OBSERVABLE	1	0.5	1	creatina-fosfocinasa	75828004	C0010287	creatina-fosfocinasa	creatinafosfocinasa	32593338_ES	32593338_ES	32593338_ES
carga viral	ENTIDAD-OBSERVABLE	1	0.5	1	carga viral			carga viral	carga viral	32198834_ES	32198834_ES	32198834_ES
cardíaca	ENTIDAD-OBSERVABLE	1	0.5	1	cardiaco			cardíaca	cardiaca	32639461_ES	32639461_ES	32639461_ES
capacidad hepática	ENTIDAD-OBSERVABLE	1	0.5	1	capacidad hepático			capacidad hepática	capacidad hepatica	32292904_ES	32292904_ES	32292904_ES
capacidad funcional renal	ENTIDAD-OBSERVABLE	1	0.5	1	capacidad funcional renal	429160000	C1998319	capacidad funcional renal	capacidad funcional renal	32179908_ES	32179908_ES	32179908_ES
aspartato-transaminasa	ENTIDAD-OBSERVABLE	1	0.5	1	aspartato-transaminasa			aspartato-transaminasa	aspartatotransaminasa	32605766_ES	32605766_ES	32605766_ES
antipéptido cíclico	ENTIDAD-OBSERVABLE	1	0.5	1	antipéptido cíclico			antipéptido cíclico	antipeptido ciclico	32635747_ES	32635747_ES	32635747_ES
antineutrofílicos séricos	ENTIDAD-OBSERVABLE	1	0.5	1	antineutrófilo sérico			antineutrofílicos séricos	antineutrofilicos sericos	32292867_ES	32292867_ES	32292867_ES
anticuerpos víricos	ENTIDAD-OBSERVABLE	1	0.5	1	anticuerpo vírico			anticuerpos víricos	anticuerpos viricos	32168162_ES	32168162_ES	32168162_ES
anticuerpos reumatoideos	ENTIDAD-OBSERVABLE	1	0.5	1	anticuerpo reumatoideo			anticuerpos reumatoideos	anticuerpos reumatoideos	32617169_ES	32617169_ES	32617169_ES
anticuerpos contra citomegalovirus	ENTIDAD-OBSERVABLE	1	0.5	1	anticuerpo contra citomegalovirus	30200007	C0201338	anticuerpos contra citomegalovirus	anticuerpos contra citomegalovirus	32399451_ES	32399451_ES	32399451_ES
anticuerpos antimúsculo liso	ENTIDAD-OBSERVABLE	1	0.5	1	anticuerpo antimúsculo liso	121122009	C0369998	anticuerpos antimúsculo liso	anticuerpos antimusculo liso	32617169_ES	32617169_ES	32617169_ES
anticuerpos antimitocondriales	ENTIDAD-OBSERVABLE	1	0.5	1	anticuerpo antimitocondrial	104328008	C2825862	anticuerpos antimitocondriales	anticuerpos antimitocondriales	32617169_ES	32617169_ES	32617169_ES
anticuerpos antigangliósidos séricos	ENTIDAD-OBSERVABLE	1	0.5	1	anticuerpo antigangliósido sérico			anticuerpos antigangliósidos séricos	anticuerpos antigangliosidos sericos	32399694­­_ES	32399694­­_ES	32399694­­_ES
anticuerpos anticitoplásmicos de neutrófilos	ENTIDAD-OBSERVABLE	1	0.5	1	anticuerpo anticitoplásmico de neutrófilo			anticuerpos anticitoplásmicos de neutrófilos	anticuerpos anticitoplasmicos de neutrofilos	32622819A_ES	32622819A_ES	32622819A_ES
anticuerpos anticitoplasmáticos de neutrófilos	ENTIDAD-OBSERVABLE	1	0.5	1	anticuerpo anticitoplasmático de neutrófilo	51735006		anticuerpos anticitoplasmáticos de neutrófilos	anticuerpos anticitoplasmaticos de neutrofilos	32622819B_ES	32622819B_ES	32622819B_ES
anticuerpos IgM e IgG	ENTIDAD-OBSERVABLE	1	0.5	1	anticuerpo igm y igg			anticuerpos IgM e IgG	anticuerpos IgM e IgG	32276139_B_ES	32276139_B_ES	32276139_B_ES
anticuerpos IgM	ENTIDAD-OBSERVABLE	1	0.5	1	anticuerpo igm			anticuerpos IgM	anticuerpos IgM	32276139_ES	32276139_ES	32276139_ES
anticuerpos IgG	ENTIDAD-OBSERVABLE	1	0.5	1	anticuerpo igg			anticuerpos IgG	anticuerpos IgG	32651243_ES	32651243_ES	32651243_ES
anticuerpos	ENTIDAD-OBSERVABLE	1	0.5	1	anticuerpo	68498002	C0003241	anticuerpos	anticuerpos	32635747_ES	32635747_ES	32635747_ES
amoniaco sérico	ENTIDAD-OBSERVABLE	1	0.5	1	amoniaco sérico			amoniaco sérico	amoniaco serico	32586752_ES	32586752_ES	32586752_ES
amilasa plasmática	ENTIDAD-OBSERVABLE	1	0.5	1	amilasa plasmático			amilasa plasmática	amilasa plasmatica	32653210_ES	32653210_ES	32653210_ES
alanino-aminotransferasa	ENTIDAD-OBSERVABLE	1	0.5	1	alanino-aminotransferasa			alanino-aminotransferasa	alaninoaminotransferasa	32586752_ES	32586752_ES	32586752_ES
agudeza visual	ENTIDAD-OBSERVABLE	1	0.5	1	agudeza visual	363983007	C0042812	agudeza visual	agudeza visual	32592761_ES	32592761_ES	32592761_ES
actividad	ENTIDAD-OBSERVABLE	1	0.5	1	actividad	257733005	C0441655	actividad	actividad	32639461_ES	32639461_ES	32639461_ES
TnI	ENTIDAD-OBSERVABLE	1	0.5	1	tni			TnI	TnI	32275347_ES	32275347_ES	32275347_ES
T4 libre	ENTIDAD-OBSERVABLE	1	0.5	1	T4 libre			T4 libre	T4 libre	32639064_ES	32639064_ES	32639064_ES
T3 libre	ENTIDAD-OBSERVABLE	1	0.5	1	T3 libre			T3 libre	T3 libre	32639064_ES	32639064_ES	32639064_ES
PUM	ENTIDAD-OBSERVABLE	1	0.5	1	PUM			PUM	PUM	32619798_ES	32619798_ES	32619798_ES
PCT	ENTIDAD-OBSERVABLE	1	0.5	1	PCT			PCT	PCT	32119083_ES	32119083_ES	32119083_ES
PA	ENTIDAD-OBSERVABLE	1	0.5	1	PA			PA	PA	32631646_ES	32631646_ES	32631646_ES
LDH	ENTIDAD-OBSERVABLE	1	0.5	1	LDH			LDH	LDH	32215898_ES	32215898_ES	32215898_ES
Hb	ENTIDAD-OBSERVABLE	1	0.5	1	hb			Hb	Hb	32594151_ES	32594151_ES	32594151_ES
GPT	ENTIDAD-OBSERVABLE	1	0.5	1	GPT			GPT	GPT	32588185_ES	32588185_ES	32588185_ES
FC	ENTIDAD-OBSERVABLE	1	0.5	1	FC			FC	FC	32631646_ES	32631646_ES	32631646_ES
FA	ENTIDAD-OBSERVABLE	1	0.5	1	FA			FA	FA	32651243_ES	32651243_ES	32651243_ES
CRP	ENTIDAD-OBSERVABLE	1	0.5	1	CRP			CRP	CRP	32637086A_ES	32637086A_ES	32637086A_ES
CPK	ENTIDAD-OBSERVABLE	1	0.5	1	CPK			CPK	CPK	32635747_ES	32635747_ES	32635747_ES
ACE sérica	ENTIDAD-OBSERVABLE	1	0.5	1	ACE sérico			ACE sérica	ACE serica	32606044_ES	32606044_ES	32606044_ES
