span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename
hiposmia	SINTOMA	2	1.0	2	hiposmia			hiposmia	hiposmia	32585767_ES, 32605712_ES
hematuria	SINTOMA	2	1.0	2	hematuria	53298000, 34436003	C0018965, C0018965	hematuria	hematuria	32277408_ES, 32292915_ES
falta de apetito	SINTOMA	2	1.0	2	faltar de apetito			falta de apetito	falta de apetito	32593478_ES, 32631770_ES
expectoracion hemoptoica	SINTOMA	2	1.0	2	expectoración hemoptoico			expectoración hemoptoica	expectoración hemoptoica	32609542_ES, 32208010_ES
estertores bibasales	SINTOMA	2	1.0	2	estertor bibasal			estertores bibasales	estertores bibasales	32294340_ES, 32623310_ES
engrosamiento de la textura de los pulmones sin anormalidades cardiacas	SINTOMA	1	0.5	2	engrosamiento de el textura de el pulmón sin anormalidad cardíaco			engrosamiento de la textura de los pulmones sin anormalidades cardíacas	engrosamiento de la textura de los pulmones sin anormalidades cardíacas	32161941_ES
empeoramiento del estado respiratorio	SINTOMA	2	1.0	2	empeoramiento de+el estado respiratorio			empeoramiento del estado respiratorio	empeoramiento del estado respiratorio	32179908_ES, 32638347B_ES
elevacion difusa del segmento ST	SINTOMA	2	1.0	2	elevación difuso de+el segmento ST			elevación difusa del segmento ST	elevación difusa del segmento ST	32607304_Es, 32584431_ES
edema pulmonar	SINTOMA	2	1.0	2	edema pulmonar	19242006	C0034063	edema pulmonar	edema pulmonar	32363336_ES, 32222713_ES
edema miocardico difuso	SINTOMA	2	1.0	2	edema miocárdico difuso			edema miocárdico difuso	edema miocárdico difuso	3229222_ES, 32267502_ES
dorsalgia	SINTOMA	1	0.5	2	dorsalgia	22913005, 419258005	C0004604, C0004604, C0677061	dorsalgia	dorsalgia	32605766_ES
dolor en fosa lumbar	SINTOMA	2	1.0	2	dolor en fosa lumbar			dolor en fosa lumbar	dolor en fosa lumbar	32292867_ES, 32292915_ES
dolor de garganta	SINTOMA	2	1.0	2	dolor de garganta	162397003, 51388003	C0242429, C0242429	dolor de garganta	dolor de garganta	32292904_ES, 32269194_ES
disnea de esfuerzo	SINTOMA	2	1.0	2	disnea de esfuerzo	60845006	C0231807	disnea de esfuerzo	disnea de esfuerzo	32267140_ES, 32208010_ES
disminucion de la saturacion de oxigeno	SINTOMA	2	1.0	2	disminución de el saturación de oxígeno			disminución de la saturación de oxígeno	disminución de la saturación de oxígeno	32612465B_ES, 32278585_ES
desorientado	SINTOMA	2	1.0	2	desorientar	62476001	C0233407	desorientado	desorientado	32563170_ES, 32417987_ES
delirios	SINTOMA	1	0.5	2	delirio	2073000, 2776000	C0011253, C0011206	delirios	delirios	32639089_ES
delirio	SINTOMA	2	1.0	2	delirio	2073000, 2776000	C0011253, C0011206	delirio	delirio	32639089_ES, 32612435_ES
debilidad muscular	SINTOMA	2	1.0	2	debilidad muscular	26544005	C0151786	debilidad muscular	debilidad muscular	32399694­­_ES, 32619798_ES
debilidad general	SINTOMA	2	1.0	2	debilidad general	13791008	C0004093, C3714552	debilidad general	debilidad general	32622819A_ES, 32587121_ES
cianosis	SINTOMA	1	0.5	2	cianosis	3415004	C0010520	cianosis	cianosis	32359711_ES
choque	SINTOMA	2	1.0	2	choque	27942005	C0036974	choque	choque	32179908_ES, 32363351_ES
cefalea frontal	SINTOMA	2	1.0	2	cefalea frontal	267096005	C0239886	cefalea frontal	cefalea frontal	32653906_ES, 32294340_ES
buen estado general	SINTOMA	2	1.0	2	bueno estado general			buen estado general	buen estado general	32594151_ES, 32653906_ES
buen estado de salud general	SINTOMA	2	1.0	2	bueno estado de salud general			buen estado de salud general	buen estado de salud general	32267140_ES, 32250095_ES
bradicardia	SINTOMA	2	1.0	2	bradicardia	48867003	C0428977	bradicardia	bradicardia	32617223_ES, 32636116_ES
ausencia de reflejos osteotendinosos	SINTOMA	2	1.0	2	ausencia de reflejo osteotendinoso			ausencia de reflejos osteotendinosos	ausencia de reflejos osteotendinosos	32653906_ES, 32619798_ES
aumento significativo de proteina creactiva	SINTOMA	2	1.0	2	aumento significativo de proteína creactiva			aumento significativo de proteína C-reactiva	aumento significativo de proteína creactiva	32648092C_ES, 32427161_ES
aumento de la cifra de trombocitos	SINTOMA	2	1.0	2	aumento de el cifra de trombocito			aumento de la cifra de trombocitos	aumento de la cifra de trombocitos	32589931_ES, 32594429_ES
artromialgia	SINTOMA	2	1.0	2	artromialgia			artromialgia	artromialgia	32556106_ES, 32402687-B_ES
apirexia	SINTOMA	2	1.0	2	apirexia	86699002	C0277797	apirexia	apirexia	32615155_ES, 32584431_ES
angustia	SINTOMA	2	1.0	2	angustiar	48694002	C0003467	angustia	angustia	32593478_ES, 32605766_ES
alucinaciones	SINTOMA	2	1.0	2	alucinación	7011001	C0018524	alucinaciones	alucinaciones	32593478_ES, 32639089_ES
alerta	SINTOMA	2	1.0	2	alerta			alerta	alerta	32605766_ES, 32292867_ES
zonas violaceas en el dorso de varios dedos de ambos pies	SINTOMA	1	0.5	1	zona violáceo en el dorso de varios dedo de ambos pie			zonas violáceas en el dorso de varios dedos de ambos pies	zonas violáceas en el dorso de varios dedos de ambos pies	32585767_ES
vomito	SINTOMA	1	0.5	1	vómito			vómito	vómito	32637437­_ES
vision borrosa	SINTOMA	1	0.5	1	visión borroso			visión borrosa	visión borrosa	32563170_ES
urticaria	SINTOMA	1	0.5	1	urticaria	64305001, 126485001	C0042109, C0042109, C0221232	urticaria	urticaria	32294264_ES
tristeza	SINTOMA	1	0.5	1	tristeza	66446005	C0344315, C3536794	tristeza	tristeza	32605766_ES
trismo	SINTOMA	1	0.5	1	trismo	87866006, 235108006	C0041105, C0041105	trismo	trismo	32631770_ES
tos vomica	SINTOMA	1	0.5	1	tos vómico			tos vómica	tos vómica	32623310_ES
tos seca persistente	SINTOMA	1	0.5	1	tos seco persistente	284523002	C0562483	tos seca persistente	tos seca persistente	32294264_ES
tos seca intermitente al llorar	SINTOMA	1	0.5	1	tos seco intermitente a+el llorar			tos seca intermitente al llorar	tos seca intermitente al llorar	32318729_ES
tos seca convulsiva	SINTOMA	1	0.5	1	tos seco convulsivo			tos seca convulsiva	tos seca convulsiva	32276139_B_ES
tos alergica	SINTOMA	1	0.5	1	tos alérgico			tos alérgica	tos alérgica	32277408_ES
tetraparesia	SINTOMA	1	0.5	1	tetraparesia	91327001	C0270790	tetraparesia	tetraparesia	32399694­­_ES
temblor intencional y postural	SINTOMA	1	0.5	1	temblor intencional y postural			temblor intencional y postural	temblor intencional y postural	32586752_ES
taquicardico	SINTOMA	1	0.5	1	taquicárdico			taquicárdico	taquicárdico	32423911_ES
subito aplanamiento de la onda arterial y la frigidez	SINTOMA	1	0.5	1	súbito aplanamiento de el onda arterial y el frigidez			súbito aplanamiento de la onda arterial y la frigidez	súbito aplanamiento de la onda arterial y la frigidez	32589931_ES
subcrepitantes pulmonares bibasales	SINTOMA	1	0.5	1	subcrepitantes pulmonar bibasal			subcrepitantes pulmonares bibasales	subcrepitantes pulmonares bibasales	32423738_ES
sombras parcheadas en los lobulos inferior y superior del pulmon	SINTOMA	1	0.5	1	sombra parchear en el lóbulo inferior y superior de+el pulmón			sombras parcheadas en los lóbulos inferior y superior del pulmón	sombras parcheadas en los lóbulos inferior y superior del pulmón	32161941_ES
sintomatologia gastrointestinal	SINTOMA	1	0.5	1	sintomatología gastrointestinal			sintomatología gastrointestinal	sintomatología gastrointestinal	32631646_ES
sintomas urinarios	SINTOMA	1	0.5	1	síntoma urinario			síntomas urinarios	síntomas urinarios	32587121_ES
sintomas seudogripales	SINTOMA	1	0.5	1	síntoma seudogripal			síntomas seudogripales	síntomas seudogripales	32399694­­_ES
sintomas respiratorios progresivos	SINTOMA	1	0.5	1	síntoma respiratorio progresivo			síntomas respiratorios progresivos	síntomas respiratorios progresivos	32592761_ES
sintomas respiratorios de vias respiratorias	SINTOMA	1	0.5	1	síntoma respiratorio de vía respiratorio			síntomas respiratorios de vías respiratorias	síntomas respiratorios de vías respiratorias	32265235_ES
sintomas pulmonares	SINTOMA	1	0.5	1	síntoma pulmonar			síntomas pulmonares	síntomas pulmonares	32590204_ES
sintomas neurologicos	SINTOMA	1	0.5	1	síntoma neurológico			síntomas neurológicos	síntomas neurológicos	32592761_ES
sintomas gripales	SINTOMA	1	0.5	1	síntoma gripal			síntomas gripales	síntomas gripales	32425356_ES
sintomas en las vias respiratorias altas	SINTOMA	1	0.5	1	síntoma en el vía respiratorio alto			síntomas en las vías respiratorias altas	síntomas en las vías respiratorias altas	32318729_ES
sintomas	SINTOMA	1	0.5	1	síntoma			síntomas	síntomas	32639089_ES
sincope	SINTOMA	1	0.5	1	sincopar			sincope	sincope	32612465A_ES
signos pulmonares eran normales	SINTOMA	1	0.5	1	signo pulmonar ser normal			signos pulmonares eran normales	signos pulmonares eran normales	32292053_ES
signos pulmonares	SINTOMA	1	0.5	1	signo pulmonar			signos pulmonares	signos pulmonares	32292053_ES
signos piramidales y nivel sensorial T10	SINTOMA	1	0.5	1	signo piramidal y nivel sensorial T10			signos piramidales y nivel sensorial T10	signos piramidales y nivel sensorial T10	32601756_ES
signo de kernig	SINTOMA	1	0.5	1	signo de kernig	39051003	C0234178	signo de Kernig	signo de kernig	32283294_ES
signo de chaddock	SINTOMA	1	0.5	1	signo de chaddock	413813004	C1531651	signo de Chaddock	signo de chaddock	32293714_ES
signo de brudzinski	SINTOMA	1	0.5	1	signo de brudzinski	82345001	C0234179	signo de Brudzinski	signo de brudzinski	32283294_ES
signo de babinski y signo de chaddock	SINTOMA	1	0.5	1	signo de babinski y signo de chaddock			signo de Babinski y signo de Chaddock	signo de babinski y signo de chaddock	32293714_ES
signo de babinski normal	SINTOMA	1	0.5	1	signo de babinski normal	63833001	C0034935	signo de Babinski normal	signo de babinski normal	32653906_ES
sibilancias en ambos pulmones y edema periferico	SINTOMA	1	0.5	1	sibilancia en ambos pulmón y edema periférico			sibilancias en ambos pulmones y edema periférico	sibilancias en ambos pulmones y edema periférico	32282871_B_ES
sibilancias difusas	SINTOMA	1	0.5	1	sibilancia difuso			sibilancias difusas	sibilancias difusas	32637437­_ES
sibilancia	SINTOMA	1	0.5	1	sibilancia	56018004	C0043144, C0392681	sibilancia	sibilancia	32641443_ES
serologia de sarscov2 fue positiva	SINTOMA	1	0.5	1	serología de sarscov2 ser positivo			serología de SARS-CoV-2 fue positiva	serología de sarscov2 fue positiva	32653960_ES
sentirse confuso	SINTOMA	1	0.5	1	sentir+se confuso			sentirse confuso	sentirse confuso	32593478_ES
sensacion de calor	SINTOMA	1	0.5	1	sensación de calor			sensación de calor	sensación de calor	32399449_ES
secrecion purulenta exprimible del conducto parotideo	SINTOMA	1	0.5	1	secreción purulento exprimible de+el conducto parotídeo			secreción purulenta exprimible del conducto parotídeo	secreción purulenta exprimible del conducto parotídeo	32631770_ES
saturacion de oxigeno normal en aire ambiental	SINTOMA	1	0.5	1	saturación de oxígeno normal en aire ambiental			saturación de oxígeno normal en aire ambiental	saturación de oxígeno normal en aire ambiental	32317275_ES
saturacion de oxigeno en aire ambiental	SINTOMA	1	0.5	1	saturación de oxígeno en aire ambiental			saturación de oxígeno en aire ambiental	saturación de oxígeno en aire ambiental	32637086A_ES
saturacion de oxigeno del 91 en aire ambiental	SINTOMA	1	0.5	1	saturación de oxígeno de+el 91 en aire ambiental			saturación de oxígeno del 91% en aire ambiental	saturación de oxígeno del 91 en aire ambiental	32247016_ES
ruidos respiratorios normales	SINTOMA	1	0.5	1	ruido respiratorio normal	48348007	C0231855	ruidos respiratorios normales	ruidos respiratorios normales	32640066_ES
ruidos respiratorios eran normales	SINTOMA	1	0.5	1	ruido respiratorio ser normal	48348007	C0231855	ruidos respiratorios eran normales	ruidos respiratorios eran normales	32265235_ES
ruidos respiratorios en todo el hemitorax	SINTOMA	1	0.5	1	ruido respiratorio en todo el hemitórax			ruidos respiratorios en todo el hemitórax	ruidos respiratorios en todo el hemitórax	32423911_ES
ruidos respiratorios bilaterales normales	SINTOMA	1	0.5	1	ruido respiratorio bilateral normal	48348007	C0231855	ruidos respiratorios bilaterales normales	ruidos respiratorios bilaterales normales	32292904_ES
ruidos respiratorios bilaterales	SINTOMA	1	0.5	1	ruido respiratorio bilateral			ruidos respiratorios bilaterales	ruidos respiratorios bilaterales	32032497_ES
rubor	SINTOMA	1	0.5	1	rubor	79642002, 238810007, 20255002	C0005874, C0016382, C0332575	rubor	rubor	32631646_ES
roncus en la base de los pulmones	SINTOMA	1	0.5	1	roncus en el base de el pulmón			roncus en la base de los pulmones	roncus en la base de los pulmones	32267502_ES
roncus en el campo pulmonar inferior	SINTOMA	1	0.5	1	roncus en el campo pulmonar inferior			roncus en el campo pulmonar inferior	roncus en el campo pulmonar inferior	32119083_ES
ronchas	SINTOMA	1	0.5	1	roncha			ronchas	ronchas	32428291_ES
ritmo sinusal normal	SINTOMA	1	0.5	1	ritmo sinusal normal	64730000	C0232202	ritmo sinusal normal	ritmo sinusal normal	32360439-D_ES
ritmo sinusal a 160lpm	SINTOMA	1	0.5	1	ritmo sinusal a 160 lpm			ritmo sinusal a 160l.p.m	ritmo sinusal a 160lpm	32423738_ES
rinorrea clara y mucosas secas	SINTOMA	1	0.5	1	rinorrea claro y mucoso seca			rinorrea clara y mucosas secas	rinorrea clara y mucosas secas	32606105_ES
rigidez nucal tres dedos por debajo de la mandibula	SINTOMA	1	0.5	1	rigidez nucal 3 dedo por debajo de el mandíbula			rigidez nucal tres dedos por debajo de la mandíbula	rigidez nucal tres dedos por debajo de la mandíbula	32293714_ES
rigidez nucal	SINTOMA	1	0.5	1	rigidez nucal			rigidez nucal	rigidez nucal	32639461_ES
rigidez de nuca moderada	SINTOMA	1	0.5	1	rigidez de nuca moderar			rigidez de nuca moderada	rigidez de nuca moderada	32418288_ES
rigidez de la nuca	SINTOMA	1	0.5	1	rigidez de el nuca	405947006, 4697007	C0151315, C1320474, C1320474	rigidez de la nuca	rigidez de la nuca	32283294_ES
rigidez bilateral persistente de las extremidades inferiores	SINTOMA	1	0.5	1	rigidez bilateral persistente de el extremidad inferior			rigidez bilateral persistente de las extremidades inferiores	rigidez bilateral persistente de las extremidades inferiores	32617903A_ES
retraccion intercostal	SINTOMA	1	0.5	1	retracción intercostal			retracción intercostal	retracción intercostal	32363217_ES
respirar en aire ambiental	SINTOMA	1	0.5	1	respirar en aire ambiental			respirar en aire ambiental	respirar en aire ambiental	32427774-B_ES
respiracion agonica	SINTOMA	1	0.5	1	respiración agónico			respiración agónica	respiración agónica	32607304_Es
reduccion de la lactancia	SINTOMA	1	0.5	1	reducción de el lactancia			reducción de la lactancia	reducción de la lactancia	32320556_ES
reduccion de la ingesta oral	SINTOMA	1	0.5	1	reducción de el ingesta oral			reducción de la ingesta oral	reducción de la ingesta oral	32360439-B_ES
rechazo de la lactancia	SINTOMA	1	0.5	1	rechazo de el lactancia			rechazo de la lactancia	rechazo de la lactancia	32265235_ES
realce anomalo bilateral de los nervios facial y abducente	SINTOMA	1	0.5	1	realce anómalo bilateral de el nervio facial y abducente			realce anómalo bilateral de los nervios facial y abducente	realce anómalo bilateral de los nervios facial y abducente	32586958_ES
reacciones adversas	SINTOMA	1	0.5	1	reacción adverso	281647001	C0559546	reacciones adversas	reacciones adversas	32554811_ES
puntos purpura	SINTOMA	1	0.5	1	punto púrpura			puntos púrpura	puntos púrpura	32636116_ES
punopercusion renal levemente dolorosa y ruidos intestinales	SINTOMA	1	0.5	1	puñopercusión renal levemente doloroso y ruido intestinal			puñopercusión renal levemente dolorosa y ruidos intestinales	puñopercusión renal levemente dolorosa y ruidos intestinales	32292867_ES
psicoticos anteriores	SINTOMA	1	0.5	1	psicótico anterior			psicóticos anteriores	psicóticos anteriores	32639089_ES
problemas respiratorios	SINTOMA	1	0.5	1	problema respiratorio			problemas respiratorios	problemas respiratorios	32073161_ES
problemas para dormir	SINTOMA	1	0.5	1	problema para dormir			problemas para dormir	problemas para dormir	32605766_ES
problemas de esfinteres	SINTOMA	1	0.5	1	problema de esfínter			problemas de esfínteres	problemas de esfínteres	32359804_ES
presion positiva telespiratoria	SINTOMA	1	0.5	1	presión positivo telespiratoria			presión positiva telespiratoria	presión positiva telespiratoria	32638890_ES
poliuria	SINTOMA	1	0.5	1	poliuria	28442001, 56574000	C0032617, C0032617	poliuria	poliuria	32653960_ES
petequias eritematosas que afectaban a las nalgas las fosas popliteas y la parte anterior de los muslos	SINTOMA	1	0.5	1	petequia eritematoso que afectar a el nalga el fosa poplíteo y el parte anterior de el muslo			petequias eritematosas que afectaban a las nalgas, las fosas poplíteas y la parte anterior de los muslos	petequias eritematosas que afectaban a las nalgas las fosas poplíteas y la parte anterior de los muslos	32352487_ES
petequias en la piel	SINTOMA	1	0.5	1	petequia en el piel			petequias en la piel	petequias en la piel	32636116_ES
petequias	SINTOMA	1	0.5	1	petequia	271813007	C0031256	petequias	petequias	32425356_ES
perdida total del olfato y el gusto	SINTOMA	1	0.5	1	pérdida total de+el olfato y el gusto			pérdida total del olfato y el gusto	pérdida total del olfato y el gusto	32605712_ES
perdida sensorial	SINTOMA	1	0.5	1	pérdida sensorial			pérdida sensorial	pérdida sensorial	32653906_ES
perdida repentina de sensibilidad	SINTOMA	1	0.5	1	pérdida repentino de sensibilidad			pérdida repentina de sensibilidad	pérdida repentina de sensibilidad	32353183_ES
perdida de pulso ni otros resultados sensoriales en las extremidades inferiores	SINTOMA	1	0.5	1	pérdida de pulso ni otro resultado sensorial en el extremidad inferior			pérdida de pulso ni otros resultados sensoriales en las extremidades inferiores	pérdida de pulso ni otros resultados sensoriales en las extremidades inferiores	32617903A_ES
perdida de ondas F	SINTOMA	1	0.5	1	pérdida de onda F			pérdida de ondas F	pérdida de ondas F	32399694­­_ES
perdida de fuerza muscular	SINTOMA	1	0.5	1	pérdida de fuerza muscular			pérdida de fuerza muscular	pérdida de fuerza muscular	32648092B_ES
perdida de conciencia	SINTOMA	1	0.5	1	pérdida de conciencia			pérdida de conciencia	pérdida de conciencia	32417987_ES
paroxismos ritmicos repetitivos a 1 Hz en la region frontal	SINTOMA	1	0.5	1	paroxismo rítmico repetitivo a 1 hz en el región frontal			paroxismos rítmicos repetitivos a 1 Hz en la región frontal	paroxismos rítmicos repetitivos a 1 Hz en la región frontal	32589794_ES
parosmia nocturna	SINTOMA	1	0.5	1	parosmia nocturno			parosmia nocturna	parosmia nocturna	32605712_ES
parestesia izquierda y paresia ipsilateral	SINTOMA	1	0.5	1	parestesia izquierdo y paresia ipsilateral			parestesia izquierda y paresia ipsilateral	parestesia izquierda y paresia ipsilateral	32611761A_ES
parestesia bilateral de las extremidades superiores	SINTOMA	1	0.5	1	parestesia bilateral de el extremidad superior			parestesia bilateral de las extremidades superiores	parestesia bilateral de las extremidades superiores	32586958_ES
parestesia acra	SINTOMA	1	0.5	1	parestesia acra			parestesia acra	parestesia acra	32399694­­_ES
paresia moderada predominantemente proximal en las extremidades inferiores	SINTOMA	1	0.5	1	paresia moderar predominantemente proximal en el extremidad inferior			paresia moderada predominantemente proximal en las extremidades inferiores	paresia moderada predominantemente proximal en las extremidades inferiores	32601756_ES
paresia facial	SINTOMA	1	0.5	1	paresia facial	95666008	C0427055	paresia facial	paresia facial	32364123_ES
paresia	SINTOMA	1	0.5	1	paresia			paresia	paresia	32601756_ES
paraparesica	SINTOMA	1	0.5	1	paraparésica			paraparésica	paraparésica	32399950_ES
papilas gustativas prominentes	SINTOMA	1	0.5	1	papila gustativo prominente			papilas gustativas prominentes	papilas gustativas prominentes	32265235_ES
palpitaciones	SINTOMA	1	0.5	1	palpitación	80313002	C0030252	palpitaciones	palpitaciones	32207255_ES
palidez generalizada	SINTOMA	1	0.5	1	palidez generalizar			palidez generalizada	palidez generalizada	32641443_ES
palidez del miembro superior	SINTOMA	1	0.5	1	palidez de+el miembro superior			palidez del miembro superior	palidez del miembro superior	32589931_ES
palidez	SINTOMA	1	0.5	1	palidez	16390002, 267029006	C0030232, C0030232, C1275397	palidez	palidez	32423738_ES
osteomuscular	SINTOMA	1	0.5	1	osteomuscular			osteomuscular	osteomuscular	32605766_ES
opacidades de vidrio esmerilado en la parte superior del pulmon	SINTOMA	1	0.5	1	opacidad de vidrio esmerilar en el parte superior de+el pulmón			opacidades de vidrio esmerilado en la parte superior del pulmón	opacidades de vidrio esmerilado en la parte superior del pulmón	32276139_ES
opacidad en la zona medial	SINTOMA	1	0.5	1	opacidad en el zona medial			opacidad en la zona medial	opacidad en la zona medial	32265235_ES
opacidad en el lobulo superior del pulmon	SINTOMA	1	0.5	1	opacidad en el lóbulo superior de+el pulmón			opacidad en el lóbulo superior del pulmón	opacidad en el lóbulo superior del pulmón	32593478_ES
opacidad en el lobulo inferior	SINTOMA	1	0.5	1	opacidad en el lóbulo inferior			opacidad en el lóbulo inferior	opacidad en el lóbulo inferior	32602267_ES
olor intenso de pies sudados	SINTOMA	1	0.5	1	olor intenso de pie sudar			olor intenso de pies sudados	olor intenso de pies sudados	32605712_ES
normalizacion de la reactividad y el enlentecimiento	SINTOMA	1	0.5	1	normalización de el reactividad y el enlentecimiento			normalización de la reactividad y el enlentecimiento	normalización de la reactividad y el enlentecimiento	32418288_ES
normalizacion de la proteina creactiva	SINTOMA	1	0.5	1	normalización de el proteína creactiva			normalización de la proteína C-reactiva	normalización de la proteína creactiva	32554621_ES
normalizacion de la funcion biventricular	SINTOMA	1	0.5	1	normalización de el función biventricular			normalización de la función biventricular	normalización de la función biventricular	3229222_ES
nerviosismo	SINTOMA	1	0.5	1	nerviosismo	13448004	C0027769	nerviosismo	nerviosismo	32593478_ES
movimientos ritmicos e involuntarios en el brazo y la mano	SINTOMA	1	0.5	1	movimiento rítmico y involuntario en el brazo y el mano			movimientos rítmicos e involuntarios en el brazo y la mano	movimientos rítmicos e involuntarios en el brazo y la mano	32417987_ES
movimientos ritmicos de la extremidad superior	SINTOMA	1	0.5	1	movimiento rítmico de el extremidad superior			movimientos rítmicos de la extremidad superior	movimientos rítmicos de la extremidad superior	32651243_ES
movimientos clonicos en el brazo	SINTOMA	1	0.5	1	movimiento clónico en el brazo			movimientos clónicos en el brazo	movimientos clónicos en el brazo	32417987_ES
molestias respiratorias	SINTOMA	1	0.5	1	molestia respiratorio			molestias respiratorias	molestias respiratorias	32222713_ES
masa tumoral de la region parietal	SINTOMA	1	0.5	1	masa tumoral de el región parietal			masa tumoral de la región parietal	masa tumoral de la región parietal	32165205_ES
masa moderado en las estructuras mediales	SINTOMA	1	0.5	1	masa moderar en el estructura medial			masa moderado en las estructuras mediales	masa moderado en las estructuras mediales	32554423_ES
masa de trombo agudo	SINTOMA	1	0.5	1	masa de trombo agudo			masa de trombo agudo	masa de trombo agudo	32353183_ES
mareos	SINTOMA	1	0.5	1	mareo			mareos	mareos	32292904_ES
manchas en las extremidades inferiores en bipedestacion	SINTOMA	1	0.5	1	mancha en el extremidad inferior en bipedestación			manchas en las extremidades inferiores en bipedestación	manchas en las extremidades inferiores en bipedestación	32640066_ES
mancha periumbilical eritematosa y escamosa	SINTOMA	1	0.5	1	mancha periumbilical eritematoso y escamoso			mancha periumbilical eritematosa y escamosa	mancha periumbilical eritematosa y escamosa	32352486_ES
mancha eritematosa con varias vesiculas y superficie hemorragica	SINTOMA	1	0.5	1	mancha eritematoso con varios vesícula y superficie hemorrágico			mancha eritematosa con varias vesículas y superficie hemorrágica	mancha eritematosa con varias vesículas y superficie hemorrágica	32602610_ES
malestar respiratorio	SINTOMA	1	0.5	1	malestar respiratorio			malestar respiratorio	malestar respiratorio	32292867_ES
malestar abdominal	SINTOMA	1	0.5	1	malestar abdominal	43364001	C0232487	malestar abdominal	malestar abdominal	32294340_ES
mal estado general	SINTOMA	1	0.5	1	mal estado general			mal estado general	mal estado general	32631646_ES
maculopapular extenso en las palmas de las manos rodillas y tobillos	SINTOMA	1	0.5	1	maculopapular extenso en el palma de el mano rodilla y tobillo			maculopapular extenso (en las palmas de las manos, rodillas y tobillos	maculopapular extenso en las palmas de las manos rodillas y tobillos	32639461_ES
maculas confluentes ligeramente eritematosas que afectaban al tronco y las extremidades	SINTOMA	1	0.5	1	mácula confluente ligeramente eritematoso que afectar a+el tronco y el extremidad			máculas confluentes ligeramente eritematosas que afectaban al tronco y las extremidades	máculas confluentes ligeramente eritematosas que afectaban al tronco y las extremidades	32584431_ES
macrohematuria	SINTOMA	1	0.5	1	macrohematuria	197941005	C0473237	macrohematuria	macrohematuria	32622819A_ES
los analisis de sangre	SINTOMA	1	0.5	1	el análisis de sangre			los análisis de sangre	los análisis de sangre	32639089_ES
lloroso e hipotonico	SINTOMA	1	0.5	1	lloroso y hipotónico			lloroso e hipotónico	lloroso e hipotónico	32594151_ES
lloroso	SINTOMA	1	0.5	1	lloroso			lloroso	lloroso	32594151_ES
lloro excesivo	SINTOMA	1	0.5	1	lloro excesivo			lloro excesivo	lloro excesivo	32594151_ES
liquido cefalorraquideo incoloro y normal	SINTOMA	1	0.5	1	líquido cefalorraquídeo incoloro y normal			líquido cefalorraquídeo incoloro y normal	líquido cefalorraquídeo incoloro y normal	32293714_ES
liquido amniotico con meconio	SINTOMA	1	0.5	1	líquido amniótico con meconio			líquido amniótico con meconio	líquido amniótico con meconio	32161941_ES
linfopenia	SINTOMA	1	0.5	1	linfopenia	48813009	C0024312, C0300946	linfopenia	linfopenia	32318729_ES
linfocitopenia	SINTOMA	1	0.5	1	linfocitopenia	48813009	C0024312, C0300946	linfocitopenia	linfocitopenia	32205138_ES
limitacion completa de la abduccion en el ojo	SINTOMA	1	0.5	1	limitación completo de el abducción en el ojo			limitación completa de la abducción en el ojo	limitación completa de la abducción en el ojo	32592761_ES
levemente reducida	SINTOMA	1	0.5	1	levemente reducir			levemente reducida	levemente reducida	32639461_ES
leucopenia	SINTOMA	1	0.5	1	leucopenia	84828003, 419188005	C0023530, C0750394	leucopenia	leucopenia	32318729_ES
letargico	SINTOMA	1	0.5	1	letárgico			letárgico	letárgico	32293714_ES
letargia aguda	SINTOMA	1	0.5	1	letargia agudo			letargia aguda	letargia aguda	32639064_ES
inversion de la onda T en derivacion aVL	SINTOMA	1	0.5	1	inversión de el onda T en derivación avl			inversión de la onda T en derivación aVL	inversión de la onda T en derivación aVL	32650881_ES
intolerancia fetal	SINTOMA	1	0.5	1	intolerancia fetal			intolerancia fetal	intolerancia fetal	32590725_ES
inflamacion y congestion labial	SINTOMA	1	0.5	1	inflamación y congestión labial			inflamación y congestión labial	inflamación y congestión labial	32640066_ES
inflamacion y aumento de tamano asimetrico y difuso de la glandula parotida	SINTOMA	1	0.5	1	inflamación y aumento de tamaño asimétrico y difuso de el glándula parótido			inflamación y aumento de tamaño asimétrico y difuso de la glándula parótida	inflamación y aumento de tamaño asimétrico y difuso de la glándula parótida	32631770_ES
inflamacion unilateral progresiva en el rostro y el cuello	SINTOMA	1	0.5	1	inflamación unilateral progresivo en el rostro y el cuello			inflamación unilateral progresiva en el rostro y el cuello	inflamación unilateral progresiva en el rostro y el cuello	32631770_ES
inflamacion linfocitica perivascular y perianexial	SINTOMA	1	0.5	1	inflamación linfocítico perivascular y perianexial			inflamación linfocítica perivascular y perianexial	inflamación linfocítica perivascular y perianexial	32585767_ES
inflamacion izquierda facial y del cuello	SINTOMA	1	0.5	1	inflamación izquierdo facial y de+el cuello			inflamación izquierda facial y del cuello	inflamación izquierda facial y del cuello	32631770_ES
inflamacion intersticial bilateral difusa con consolidaciones subpleurales	SINTOMA	1	0.5	1	inflamación intersticial bilateral difuso con consolidación subpleural			inflamación intersticial bilateral difusa con consolidaciones subpleurales	inflamación intersticial bilateral difusa con consolidaciones subpleurales	32275347_ES
